ledger_id,category,claim_or_asset,game_location,date_range,source_title,source_creator,source_type,source_url_or_archive,page_or_timestamp,confidence,status,allowed_use,notes,reviewer,review_date
EVENT-001,public_event,"New Union Treaty signing was planned for 20 August 1991 and was a precipitating factor in the coup",broadcast_context,1991-08,"The End of the Soviet Union 1991",National Security Archive,archival briefing,https://nsarchive.gwu.edu/briefing-book/russia-programs/2021-12-21/end-soviet-union-1991,,high,verified-secondary,paraphrase,"Do not reproduce long source wording",,
EVENT-002,media,"Soviet state television replaced regular programming with Swan Lake during the coup",tv_event_01,1991-08,"The Diary of Anatoly Chernyaev, 1991",National Security Archive,archival briefing,https://nsarchive2.gwu.edu/NSAEBB/NSAEBB357/index.htm,,high,verified-secondary,paraphrase,"Use rights-cleared original music and original visuals",,
PROP-001,glassware,"Small faceted glass form used in the bar",table_props,1960-1991,,,,,,low,unverified,none,"Find dated catalog or photograph before approval",,
SIGN-001,signage,"Opening-hours plaque wording and typography",entrance,1980-1991,,,,,,low,unverified,none,"Native Russian and material-culture review required",,
SERVICE-001,service_practice,"Second-category bar service could be provided at the bar counter by a bartender or buffet worker",bar_counter,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,section 2.4.4,high,verified-primary,"bar-counter service staging","Does not prove the fictional establishment's exact staffing arrangement",,
SERVICE-002,service_practice,"Second-category cafes and bars could provide recorded music through radio equipment",radio_music_state,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,"sections 2.2.3 and 2.4.4",high,verified-primary,"diegetic recorded-music source","Exact repertoire, station, recording, and rights require separate review",,
SERVICE-003,service_practice,"A second-category bar menu was printed and displayed in a special frame at the entrance, bar counter, or payment point",entrance_counter,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,section 2.4.4,high,verified-primary,"separate reviewed SVG or runtime text","Exact wording, prices, and typography remain unverified",,
SERVICE-004,service_practice,"Accepted cash-register receipts or meal tickets were placed on spikes and counted at the end of the trading day or shift",counter_till,1974-1991,"Order No. 147 on Basic Rules for Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://meganorm.ru/mega_doc/dop_norm/0/metodicheskie_ukazaniya_po_organizatsii_ratsionalnogo/0/prikaz_mintorga_sssr_ot_09_07_1974_N_147_ob_utverzhdenii.html,section 5.2,high,verified-primary,"receipt-spike prop and shift-closing activity","Verify till geometry separately",,
SERVICE-005,service_practice,"In waiter-served establishments an ashtray was supplied at a visitor's request",patron_tables,1974-1991,"Order No. 147 on Basic Rules for Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://meganorm.ru/mega_doc/dop_norm/0/metodicheskie_ukazaniya_po_organizatsii_ratsionalnogo/0/prikaz_mintorga_sssr_ot_09_07_1974_N_147_ob_utverzhdenii.html,section 3.5,high,verified-primary,"stateful ashtray service action","Does not verify an exact ashtray model or universal smoking behavior",,
SERVICE-006,service_practice,"Telephone access for visitors appears in 1980 additional-service requirements; the game's behind-counter patron access arrangement is a fictional composite",telephone,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,"table 3, telephone-service row",medium,plausible-composite,"permission-based telephone interaction","The source supports visitor telephone service but not placement behind the counter or its access protocol",,
SERVICE-007,service_practice,"Public-catering establishments had to keep a complaints and suggestions book available and provide it on request",counter_records,1973-1991,"Instruction on the Complaints and Suggestions Book in Retail and Public Catering Enterprises","USSR Ministry of Trade and RSFSR Ministry of Trade",official regulation,https://pravo.ppt.ru/prikaz/mintorg-rsfsr/n-346-69592,sections 1-4,high,verified-primary,"stateful bureaucratic prop","Exact cover, design, and contents need separate sourcing and native Russian review",,
SERVICE-008,service_practice,"A public-catering hall operating 10 hours or more could have a cleaning break lasting no more than one hour",predawn_cleanup,1974-1991,"Order No. 147 on Basic Rules for Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://meganorm.ru/mega_doc/dop_norm/0/metodicheskie_ukazaniya_po_organizatsii_ratsionalnogo/0/prikaz_mintorga_sssr_ot_09_07_1974_N_147_ob_utverzhdenii.html,section 1.6,high,verified-primary,"conditional pre-dawn cleaning lull","Use only if the fictional establishment's operating hours make the rule applicable",,
MEDIA-003,media,"Radio Russia returned to air at 14:30 on 21 August 1991 and Russian television resumed with coverage of the emergency Russian legislature session",evening_media_state,1991-08-21,"Soviet Coup Collapses: Gorbachev Returns, in Full Control","John-Thor Dahlburg, Los Angeles Times",contemporary journalism,https://www.latimes.com/archives/la-xpm-1991-08-22-mn-1188-story.html,"contemporary dispatch, paragraph on resumed Russian radio and television",high,verified-secondary,"evening starting media state","Fictionalize text and verify local reception and signal compression",,
MEDIA-004,media,"The 21 August evening Vremya bulletin visibly reversed course and reported restoration of Gorbachev's authority after the coup failed",tv_event_2100,1991-08-21,"El principal informativo anunció la recuperación del poder por Gorbachov",El País,contemporary journalism,https://elpais.com/diario/1991/08/22/internacional/682812021_850215.html,published 1991-08-22,high,verified-secondary,"fictionalized 21:00 bulletin and changed presenter tone","Do not copy archival wording or presenter likeness",,
MEDIA-005,media,"Ekho Moskvy was shut down again at 08:00 on 21 August and later restored through a reserve transmitter; correspondents fed reports through ordinary telephones",radio_event,1991-08-21,"Radiopriemniki na barrikadakh",Boris Yeltsin Presidential Center,museum/archive article,https://yeltsin.ru/news/polnaya-versiya-radiopriemniki-na-barrikadah/,"passage on 21 August shutdown, reserve transmitter, and telephone-fed reports",high,verified-secondary,"radio interruption, restoration, and phone-report structure","Do not reproduce station recordings or exact calls",,
MEDIA-006,media,"During the emergency session on 21 August participants described a lack of objective information and reliance on receivers for Radio Liberty, BBC, and CNN",signal_comparison,1991-08-21,"Transcript of the First Extraordinary Session of the Supreme Soviet of the Russian Federation","Supreme Soviet of the RSFSR, translated by Matt McGorrin for the National Security Archive",primary transcript,https://nsarchive.gwu.edu/media/28349/ocr,"translated excerpts, p. 37",high,verified-primary,"support conflicting-source design and attributed foreign-service listening","Does not guarantee clear reception in the fictional bar",,
EVENT-003,public_event,"Muscovites defending the Russian parliament stood outside in rain during the coup resistance",entrance_exterior,1991-08-19/1991-08-21,"Transcript of the First Extraordinary Session of the Supreme Soviet of the Russian Federation","Supreme Soviet of the RSFSR, translated by Matt McGorrin for the National Security Archive",primary transcript,https://nsarchive.gwu.edu/media/28349/ocr,"translated excerpts, pp. 2-4",high,verified-primary,"wet coats, umbrella drip, damp street, and intermittent exterior sound","Do not imply continuous rain at every game hour",,
EVENT-004,public_event,"Gorbachev arrived at Moscow's Vnukovo Airport shortly after 02:00 on 22 August 1991",tv_event_arrival,1991-08-22,"Gorbachev returns to Moscow",United Press International,contemporary journalism,https://www.upi.com/Archives/1991/08/21/Gorbachev-returns-to-Moscow/7971682747200/,"contemporary dispatch, arrival paragraph",high,verified-secondary,"scheduled arrival report shortly after 02:00","Separate sourcing is required before asserting exact live-TV camerawork",,
MUSIC-002,music,"Exact use of Korobeiniki, Kalinka, and Ochi Chornye as this cafe-bar's game-night radio repertoire",radio_music_state,1991-08-21/1991-08-22,,,,,,low,unverified,none,"Historically old compositions do not prove local broadcast or playback; avoid generic Russian playlist shorthand",,
PROP-002,material_culture,"Exact current ashtray, telephone, tea-glass holder, and glass sprite forms are period-correct for a 1991 Moscow cafe-bar",table_props_counter,1980-1991,,,,,,low,unverified,none,"Verify each item separately through a dated catalog or photograph before approval",,
FACILITY-001,material_culture,"Public-catering production rooms were required to have ventilation systems under the sanitary rules approved in March 1991",service_zone,1991,"SanPiN 42-123-5777-91 Sanitary Rules for Public Catering Enterprises","USSR Ministry of Health and USSR Ministry of Trade",official regulation,https://meganorm.ru/mega_doc/norm/normy/6/sanpin_42-123-5777-91_sanitarnye_pravila_dlya_predpriyatiya.html,section 5.2,high,verified-primary,"low service-zone ventilation bed","Does not establish a ventilator in the patron hall or its exact device, audibility, rhythm, or acoustic signature",,
FACILITY-002,material_culture,"Where refrigeration installations were used in a public-catering enterprise, Soviet design rules required a separate electrical supply line for them",service_zone,1972-1991,"SNiP II-L.8-71 Public Catering Enterprises Design Standards",USSR State Construction Committee,official regulation,https://meganorm.ru/mega_doc/norm/normy/4/snip_II-l_8-71_chast_II_razdel_l_glava_8_predpriyatiya.html,section 5.2,high,verified-primary,"plausible refrigeration equipment in the service zone","Does not prove the fictional bar's exact cooler, compressor placement, operating cycle, model, or audibility",,
FURNITURE-001,material_culture,"The listed furniture for a second-category bar included two-seat and four-seat tables, chairs, and bar stools",patron_tables_counter,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,section 2.4.4,high,verified-primary,"existing generic chair and chair-shift action","Exact chair model, construction, upholstery, age, and individual repair history remain unverified",,
TABLEWARE-001,material_culture,"The tableware specification for a second-category bar included blown glassware",table_props_counter,1980-1991,"Order No. 214 on Classification of Public Catering Enterprises",USSR Ministry of Trade,official regulation,https://normativ.kontur.ru/document?documentId=265674&moduleId=1,section 2.4.4,high,verified-primary,"generic restrained glass set-down and clink actions","The regulation does not establish the current glass sprite's dimensions, faceting, shape, decoration, or acoustic character",,
